reviewer,date,anime_title,anime_year,score,first_sentence
nasreen10,06/17/2010,bleach: the sealed sword frenzy,2005,5,story: this was very reminiscent of the bount arc in bleach to me
lvand,03/14/2023,bleach: thousand-year blood war,2022,8.5,"welcome back old friend! that's what this felt like when watching the first part of this final arc of bleach - it was like reuniting with an old friend and seeing them finally get their moment to shine and tell their story, that's what it felt like"
apoc9,09/27/2014,tokyo ghoul,2014,2,if you really think about it the premise of story it is not original at all
susanna,12/12/2015,tokyo ghoul: jack,2015,10,the ova was just so amazing! i loved every second of it tbh
inu12,12/20/2018,tokyo ghoul:re 2nd season,2018,4,"so with 1 episode left, i am going to write a quick review"
umbrellas123,04/24/2017,attack on titan 2nd season,2017,5.5,***new update in the second half
jstenneg,12/05/2022,a ripple in time,2022,6,as pokemon short specials go this one was ok but a bit odd
inu230,12/24/2019,claris: luminous,2012,8,love
noanimenolife21,07/31/2021,magia record: puella magi madoka magica side story,2020,7,first of all keep in mind that if u will compare magia record with the original madoka magica u will never enjoy this anime
theroguenob,11/01/2021,magia record: puella magi madoka magica side story season 2 - the eve of awakening,2021,7,i'll be short since i didn't realize the show was over after 8 episodes which felt super fast
victoireblanc,03/16/2019,sword art online: alicization,2018,4.5,"to put things frankly, sword art online: alicization as an anime is a huge letdown compared to its light novels (volume 9 - 18)"
rosecandle16,07/29/2018,one piece film: gold,2016,10,i loved this movie
muonsei,05/10/2017,a silent voice,2016,9.8,this review is very late because of one big reason: the release of koe no katachi in philippine cinemas was delayed
infantmite44654,08/15/2022,ai higuchi: akuma no ko,2022,9,"literally one of my favourite endings, such a good song and holds lots of meaning too"
mockingentropy,07/22/2015,tokyo ghoul √a,2015,7,"tokyo ghoul root a is maybe not the aoty 2015, but because i see it collects here only criticisms at best not very fair, i must restore the balance of the opinions"
theedgelordannasui,11/07/2016,akame ga kill!,2014,2,fuck this anime
rbastid,02/08/2018,akame ga kill! theater,2014,8,"as dvd extras have become worse and worse, the team tasked with taking care of them for akame ga kill really put together something worth watching"
gunarmdyne,01/14/2010,fruits basket,2001,9,"over the years people have told me that there are two series that are ""must see"" that involve people transforming into animals via some unusual means: ranma 1/2 and fruits basket"
zoologykam,07/09/2019,fruits basket 1st season,2019,10,"this is a faithful to manga remake, and whether you've seen the orignal anime or read read the manga, or have no experience with the series at all, this is worth the watch"
itsauntycandy,09/01/2020,fruits basket 2nd season,2020,10,season 2 so far has me wanting more
thatanimesnob,08/14/2012,ouran high school host club,2006,8,"- animated by studio bones, which means the production values will be great but the story will be messy… what? it doesn’t have much of a story? well, in that case it is a great show! - directed by igarashi takuya, who also took up sailor moon stars, soul eater, and star driver"
