creator,list_title,anime_title,anime_year
GeminiRabbit,sword art online watching guide,sword art online: alicization - reflection,2019
KrisDFC,animes rebootsremakes,one piece: episode of merry - mou hitori no nakama no monogatari,2013
knoxyal,anime with official animated music video,one piece film: gold,2016
InnocentSmile,anime seriesmovies with no ecchi scenes ,a silent voice,2016
EnjuAiharaFan,must watch anime  the greatest plots,a silent voice,2016
knoxyal,official anime music videos amvs featuri,ai higuchi: akuma no ko,2022
InnocentSmile,anime seriesmovies with no ecchi scenes ,tokyo ghoul √a,2015
sothis,anime with overpowered op characters,tokyo ghoul √a,2015
Epimondas,most adult oriented rated r level or abo,akame ga kill!,2014
sothis,anime with overpowered op characters,akame ga kill!,2014
ClawfootQueen,clawfoot bathtubs in anime,akame ga kill! theater,2014
alala,romantic school dramascomedies,fruits basket,2001
Shirokuma,animes with reverse harem,fruits basket,2001
Silvernotebook,my emotions though gun shots,fruits basket 1st season,2019
InnocentSmile,anime seriesmovies with no ecchi scenes ,fruits basket 1st season,2019
Silvernotebook,my emotions though gun shots,fruits basket 2nd season,2020
knoxyal,the ultimate shows for stress relief,fruits basket 2nd season,2020
InnocentSmile,anime seriesmovies with no ecchi scenes ,ouran high school host club,2006
Shirokuma,animes with reverse harem,ouran high school host club,2006
